,Title,Author,Score,Ratings,Published
0,"Dune (Dune, #1)",Frank Herbert,4.26,"1,228,957",1965
1,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,"1,321,537",1985
2,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.23,"1,758,596",1979
3,The Martian (Hardcover),Andy Weir,4.41,"1,054,000",2011
4,"Ready Player One (Ready Player One, #1)",Ernest Cline,4.23,"1,102,854",2011
5,Fahrenheit 451 (Kindle Edition),Ray Bradbury,3.97,"2,252,738",1953
6,1984 (Paperback),George Orwell,4.19,"4,270,875",1949
7,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.33,"8,077,816",2008
8,Brave New World (Paperback),Aldous Huxley,3.99,"1,763,080",1932
9,"Foundation (Foundation, #1)",Isaac Asimov,4.17,"511,657",1951
10,Do Androids Dream of Electric Sheep? (Kindle Edition),Philip K. Dick,4.09,"426,390",1968
11,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.31,"3,292,198",2009
12,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.07,"2,993,184",2010
13,The Time Machine (Paperback),H.G. Wells,3.90,"497,260",1895
14,"Neuromancer (Sprawl, #1)",William Gibson,3.90,"311,783",1984
15,"I, Robot (Robot, #0.1)",Isaac Asimov,4.21,"332,011",1950
16,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,4.29,"246,110",2011
17,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Cixin Liu,4.09,"273,117",2006
18,Project Hail Mary (Hardcover),Andy Weir,4.52,"449,723",2021
19,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,4.16,"186,439",2017
20,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.09,"922,273",1990
21,2001: A Space Odyssey (Paperback),Arthur C. Clarke,4.17,"302,525",1968
22,"Divergent (Divergent, #1)",Veronica Roth,4.15,"3,754,057",2011
23,The War of the Worlds (Paperback),H.G. Wells,3.83,"298,541",1897
24,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.13,"1,919,699",1985
25,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,4.26,"235,359",1989
26,The Left Hand of Darkness (Paperback),Ursula K. Le Guin,4.09,"166,032",1969
27,Stranger in a Strange Land (Paperback),Robert A. Heinlein,3.92,"305,226",1961
28,Dark Matter (Hardcover),Blake Crouch,4.13,"420,321",2016
29,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,4.21,"274,898",1980
30,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,"877,632",2012
31,The Martian Chronicles (Mass Market Paperback),Ray Bradbury,4.15,"251,201",1950
32,"Red Rising (Red Rising Saga, #1)",Pierce Brown,4.26,"347,856",2014
33,Slaughterhouse-Five (Paperback),Kurt Vonnegut Jr.,4.09,"1,315,870",1969
34,"Dune Messiah (Dune, #2)",Frank Herbert,3.89,"244,671",1969
35,Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley,3.85,"1,491,467",1818
36,Snow Crash (Kindle Edition),Neal Stephenson,4.02,"270,993",1992
37,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,4.09,"247,448",1986
38,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,4.09,"247,448",1986
39,"The Giver (The Giver, #1)",Lois Lowry,4.12,"2,318,834",1993
40,"Old Man's War (Old Man's War, #1)",John Scalzi,4.23,"187,409",2005
41,"Foundation and Empire (Foundation, #2)",Isaac Asimov,4.22,"194,182",1952
42,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky  Chambers,4.18,"130,398",2014
43,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.99,"1,163,091",1962
44,"Second Foundation (Foundation, #3)",Isaac Asimov,4.27,"175,966",1953
45,"Life, the Universe and Everything (The Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,4.18,"225,444",1982
46,Artemis (Hardcover),Andy Weir,3.69,"249,584",2017
47,"Annihilation (Southern Reach, #1)",Jeff VanderMeer,3.75,"211,053",2014
48,Starship Troopers (Mass Market Paperback),Robert A. Heinlein,4.01,"220,291",1959
49,"The Forever War (The Forever War, #1)",Joe Haldeman,4.14,"160,844",1974
